Entity,Code,Year,Health expenditure (2010 int-$) (2010 int-$),Life expectancy at birth (years),Total population (Gapminder)
Afghanistan,AFG,1800,,,3280000
Afghanistan,AFG,1820,,,3280000
Afghanistan,AFG,1870,,,4207000
Afghanistan,AFG,1913,,,5730000
Afghanistan,AFG,1950,,,8151455
Afghanistan,AFG,1951,,,8276820
Afghanistan,AFG,1952,,,8407148
Afghanistan,AFG,1953,,,8542906
Afghanistan,AFG,1954,,,8684494
Afghanistan,AFG,1955,,,8832253
Afghanistan,AFG,1956,,,8986449
Afghanistan,AFG,1957,,,9147286
Afghanistan,AFG,1958,,,9314915
Afghanistan,AFG,1959,,,9489453
Afghanistan,AFG,1960,,31.58004878,9671046
Afghanistan,AFG,1961,,32.09597561,9859928
Afghanistan,AFG,1962,,32.61187805,10056480
Afghanistan,AFG,1963,,33.12731707,10261254
Afghanistan,AFG,1964,,33.6412439,10474903
Afghanistan,AFG,1965,,34.15368293,10697983
Afghanistan,AFG,1966,,34.66312195,10927724
Afghanistan,AFG,1967,,35.17007317,11163656
Afghanistan,AFG,1968,,35.67202439,11411022
Afghanistan,AFG,1969,,36.16997561,11676990
Afghanistan,AFG,1970,,36.65943902,11964906
Afghanistan,AFG,1971,,37.13941463,12273101
Afghanistan,AFG,1972,,37.60887805,12593688
Afghanistan,AFG,1973,,38.06934146,12915499
Afghanistan,AFG,1974,,38.52329268,13223928
Afghanistan,AFG,1975,,38.97026829,13505544
Afghanistan,AFG,1976,,39.41073171,13766792
Afghanistan,AFG,1977,,39.84770732,14003408
Afghanistan,AFG,1978,,40.29068293,14179656
Afghanistan,AFG,1979,,40.74817073,14249493
Afghanistan,AFG,1980,,41.23365854,14185729
Afghanistan,AFG,1981,,41.76063415,13984092
Afghanistan,AFG,1982,,42.33560976,13672870
Afghanistan,AFG,1983,,42.96304878,13300056
Afghanistan,AFG,1984,,43.6444878,12931791
Afghanistan,AFG,1985,,44.37990244,12625292
Afghanistan,AFG,1986,,45.16880488,12372113
Afghanistan,AFG,1987,,45.99721951,12183387
Afghanistan,AFG,1988,,46.85014634,12156685
Afghanistan,AFG,1989,,47.71158537,12414686
Afghanistan,AFG,1990,,48.56704878,13032161
Afghanistan,AFG,1991,,49.40456098,14069854
Afghanistan,AFG,1992,,50.21312195,15472076
Afghanistan,AFG,1993,,50.9852439,17053213
Afghanistan,AFG,1994,,51.70939024,18553819
Afghanistan,AFG,1995,,52.37507317,19789880
Afghanistan,AFG,1996,,52.97278049,20684982
Afghanistan,AFG,1997,,53.5084878,21299350
Afghanistan,AFG,1998,,53.99219512,21752257
Afghanistan,AFG,1999,,54.43287805,22227543
Afghanistan,AFG,2000,,54.84856098,22856302
Afghanistan,AFG,2001,,55.25621951,23677385
